x(m) | S(x)(m) | grad(%)
     0.000 |   1264.000 |  27.026874
     6.053 |   1265.635 |  26.954696
    12.107 |   1267.260 |  26.738163
    18.160 |   1268.869 |  26.377274
    24.214 |   1270.451 |  25.872029
    30.267 |   1271.998 |  25.222428
    36.321 |   1273.502 |  24.428472
    42.374 |   1274.953 |  23.490159
    48.428 |   1276.343 |  22.407492
    54.481 |   1277.663 |  21.180468
    60.535 |   1278.904 |  19.809089
    66.588 |   1280.058 |  18.293354
    72.641 |   1281.116 |  16.633263
    78.695 |   1282.069 |  14.828817
    84.748 |   1282.908 |  12.880015
    90.802 |   1283.625 |  10.786857
    96.855 |   1284.211 |   8.549343
   102.909 |   1284.658 |   6.167474
   108.962 |   1284.955 |   3.641249
   115.016 |   1285.096 |   0.970669
   121.069 |   1285.070 |  -1.844268
   127.123 |   1284.871 |  -4.682188
   133.176 |   1284.516 |  -6.921809
   139.229 |   1284.047 |  -8.475570
   145.283 |   1283.504 |  -9.343472
   151.336 |   1282.929 |  -9.525515
   157.390 |   1282.364 |  -9.021699
   163.443 |   1281.851 |  -7.832023
   169.497 |   1281.430 |  -5.956488
   175.550 |   1281.143 |  -3.395094
   181.604 |   1281.033 |  -0.147840
   187.657 |   1281.139 |   3.785272
   193.711 |   1281.505 |   8.404244
   199.764 |   1282.171 |  13.709075
   205.817 |   1283.178 |  19.699766
   211.871 |   1284.570 |  26.376315
   217.924 |   1286.379 |  33.302755
   223.978 |   1288.583 |  39.374816
   230.031 |   1291.128 |  44.538415
   236.085 |   1293.957 |  48.793552
   242.138 |   1297.017 |  52.140226
   248.192 |   1300.252 |  54.578439
   254.245 |   1303.606 |  56.108188
   260.299 |   1307.026 |  56.729476
   266.352 |   1310.456 |  56.442301
   272.405 |   1313.841 |  55.246663
   278.459 |   1317.127 |  53.142564
   284.512 |   1320.257 |  50.130002
   290.566 |   1323.177 |  46.208978
   296.619 |   1325.833 |  41.379491
   302.673 |   1328.169 |  35.641542
   308.726 |   1330.130 |  28.995131
   314.780 |   1331.661 |  21.440257
   320.833 |   1332.707 |  12.976921
   326.887 |   1333.217 |   3.900084
   332.940 |   1333.197 |  -4.384653
   338.993 |   1332.706 | -11.694765
   345.047 |   1331.801 | -18.030252
   351.100 |   1330.543 | -23.391113
   357.154 |   1328.989 | -27.777349
   363.207 |   1327.199 | -31.188960
   369.261 |   1325.233 | -33.625946
   375.314 |   1323.148 | -35.088307
   381.368 |   1321.004 | -35.576042
   387.421 |   1318.860 | -35.089153
   393.475 |   1316.776 | -33.627638
   399.528 |   1314.809 | -31.191497
   405.581 |   1313.019 | -27.780732
   411.635 |   1311.465 | -23.395341
   417.688 |   1310.206 | -18.035326
   423.742 |   1309.293 | -12.193503
   429.795 |   1308.719 |  -6.869449
   435.849 |   1308.451 |  -2.092114
   441.902 |   1308.455 |   2.138500
   447.956 |   1308.698 |   5.822394
   454.009 |   1309.149 |   8.959568
   460.063 |   1309.772 |  11.550022
   466.116 |   1310.536 |  13.593755
   472.169 |   1311.407 |  15.090769
   478.223 |   1312.352 |  16.041062
   484.276 |   1313.338 |  16.444635
   490.330 |   1314.332 |  16.301487
   496.383 |   1315.300 |  15.611620
   502.437 |   1316.211 |  14.375032
   508.490 |   1317.030 |  12.591724
   514.544 |   1317.724 |  10.261696
   520.597 |   1318.262 |   7.508043
   526.651 |   1318.639 |   4.995483
   532.704 |   1318.874 |   2.823343
   538.757 |   1318.988 |   0.991623
   544.811 |   1319.001 |  -0.499677
   550.864 |   1318.934 |  -1.650556
   556.918 |   1318.808 |  -2.461016
   562.971 |   1318.643 |  -2.931056
   569.025 |   1318.460 |  -3.060675
   575.078 |   1318.279 |  -2.849874
   581.132 |   1318.122 |  -2.298654
   587.185 |   1318.008 |  -1.407013
   593.239 |   1317.956 |  -0.323710
   599.292 |   1317.968 |   0.735864
   605.345 |   1318.044 |   1.769940
   611.399 |   1318.182 |   2.778519
   617.452 |   1318.380 |   3.761600
   623.506 |   1318.637 |   4.719184
   629.559 |   1318.951 |   5.651271
   635.613 |   1319.321 |   6.557860
   641.666 |   1319.744 |   7.438952
   647.720 |   1320.221 |   8.294546
   653.773 |   1320.748 |   9.124643
   659.827 |   1321.325 |   9.929242
   665.880 |   1321.950 |  10.708344
   671.933 |   1322.621 |  11.461948
   677.987 |   1323.337 |  12.190055
   684.040 |   1324.096 |  12.892665
   690.094 |   1324.897 |  13.569777
   696.147 |   1325.739 |  14.221392
   702.201 |   1326.619 |  14.847509
   708.254 |   1327.536 |  15.448129
   714.308 |   1328.488 |  16.023251
   720.361 |   1329.475 |  16.572876
   726.415 |   1330.494 |  17.097004
   732.468 |   1331.545 |  17.595634
   738.521 |   1332.624 |  18.068766
   744.575 |   1333.732 |  18.516402
   750.628 |   1334.865 |  18.938540
   756.682 |   1336.024 |  19.335180
   762.735 |   1337.206 |  19.706323
   768.789 |   1338.409 |  20.051968
   774.842 |   1339.633 |  20.373115
   780.896 |   1340.875 |  20.675406
   786.949 |   1342.136 |  20.959724
   793.003 |   1343.413 |  21.226070
   799.056 |   1344.705 |  21.474444
   805.109 |   1346.012 |  21.704845
   811.163 |   1347.333 |  21.917274
